gucci: 
('mane', 0.882137656211853)


('banshee', 0.8197557330131531)


('lacoste', 0.7414326667785645)


('haan', 0.7304749488830566)


('pajama', 0.7113804817199707)


('wrangler', 0.7097703814506531)


('versace', 0.706656277179718)


('robe', 0.7062469124794006)


('link', 0.7009824514389038)


('booby', 0.7003530859947205)


('scum', 0.6996652483940125)


('exclusive', 0.6949124336242676)


('splattered', 0.6933865547180176)


('pharmacy', 0.6919844746589661)


('percocets', 0.6909822821617126)


('carti', 0.6854019165039062)


('gerald', 0.6844456791877747)


('overseas', 0.6842532157897949)


('fumble', 0.6811376214027405)


('tesla', 0.6806731224060059)


('fadeaway', 0.6805604100227356)


('westside', 0.6799235939979553)


('harley', 0.6780830025672913)


('tha', 0.6772431135177612)


('kappa', 0.6768492460250854)


('alpha', 0.6766625046730042)


('ap', 0.6751846075057983)


('sends', 0.6747356057167053)


('burr', 0.6737047433853149)


('crook', 0.6720772981643677)


('sailing', 0.6718744039535522)


('rome', 0.6714983582496643)


('pockets', 0.6695992946624756)


('jamaican', 0.6694110631942749)


('foreigns', 0.6688455939292908)


('iceberg', 0.668431282043457)


('fightin', 0.6681326627731323)


('wreckin', 0.6645303964614868)


('pglang', 0.6639450192451477)


('scottie', 0.6629850268363953)


('zoowap', 0.6628277897834778)


('envy', 0.6628251671791077)


('carlton', 0.6620107293128967)


('playboi', 0.6619844436645508)


('valentino', 0.6611225605010986)


('rocky', 0.6588135957717896)


('bamba', 0.6580662131309509)


('ak', 0.6576206088066101)


('cets', 0.657160222530365)


('condo', 0.6570832133293152)


('overdo', 0.6569625735282898)


('killa', 0.6566402912139893)


('theo', 0.6563621759414673)


('booty', 0.6550335884094238)


('얼굴에', 0.6547992825508118)


('dunk', 0.6528909802436829)


('wesson', 0.6517379879951477)


('tech', 0.6507756114006042)


('omega', 0.6506126523017883)


('reverеnd', 0.6493000388145447)


('temple', 0.6488320827484131)


('finest', 0.6486269235610962)


('perog', 0.6483588814735413)


('hockey', 0.6482477784156799)


('arrival', 0.6471315026283264)


('fiji', 0.6464089155197144)


('feet', 0.6463661193847656)


('salad', 0.6463532447814941)


('brrah', 0.6450383067131042)


('biter', 0.6446953415870667)


('greek', 0.6445217132568359)


('overdressed', 0.6439186930656433)


('whoo', 0.643841564655304)


('romo', 0.6435103416442871)


('od', 0.6430739164352417)


('biscayne', 0.643043041229248)


('spaceship', 0.6430345773696899)


('ovo', 0.6427127122879028)


('birkin', 0.6425444483757019)


('schoolboy', 0.6419612765312195)


('pneumonia', 0.6419148445129395)


('megan', 0.6413539052009583)


('baow', 0.6412874460220337)


('slippery', 0.6411057710647583)


('steph', 0.6410983204841614)


('hat', 0.640753448009491)


('wop', 0.6407251954078674)


('fiend', 0.6397669315338135)


('gotti', 0.6377215385437012)


('fin', 0.6372157335281372)


('delegation', 0.636847198009491)


('cougar', 0.6357473731040955)


('storch', 0.6355675458908081)


('jambalaya', 0.6349772214889526)


('그렇지', 0.634958028793335)


('buffet', 0.6345908045768738)


('gta', 0.6343598365783691)


('medal', 0.6341964602470398)


('divin', 0.6341463327407837)


('rgf', 0.6336321234703064)


rolex: 
('tennis', 0.8344399929046631)


('stoop', 0.8023412823677063)


('sig', 0.7956336736679077)


('ruler', 0.789345383644104)


('tec', 0.7887837886810303)


('production', 0.7882310152053833)


('profit', 0.7879221439361572)


('backbone', 0.7876022458076477)


('named', 0.7873468995094299)


('deposit', 0.7824450731277466)


('piru', 0.7787606716156006)


('bandana', 0.7768912315368652)


('lab', 0.7768185138702393)


('utopia', 0.7753689289093018)


('missus', 0.7735735177993774)


('slangin', 0.7729753255844116)


('jamaican', 0.7701687812805176)


('ross', 0.7677326202392578)


('blaow', 0.766874372959137)


('fn', 0.7667955756187439)


('galore', 0.7656450271606445)


('corn', 0.7648887634277344)


('cookies', 0.7645910978317261)


('skrrr', 0.7627586722373962)


('junk', 0.7614779472351074)


('international', 0.760514497756958)


('buckles', 0.7603020668029785)


('husky', 0.7593140602111816)


('cockpit', 0.7588567137718201)


('bamba', 0.7585642337799072)


('spaceship', 0.7584143280982971)


('hockey', 0.7583416104316711)


('alyx', 0.758291482925415)


('texas', 0.757950484752655)


('dro', 0.7573382258415222)


('holler', 0.75706547498703)


('pouches', 0.7559342384338379)


('beggars', 0.7555408477783203)


('fadeaway', 0.75542813539505)


('mulsanne', 0.7552167773246765)


('per', 0.7549381256103516)


('cock', 0.7548218369483948)


('roc', 0.7541513442993164)


('tommy', 0.7541154623031616)


('jus', 0.7535325288772583)


('sniper', 0.7535045146942139)


('teriyaki', 0.7534905672073364)


('sharper', 0.7533475756645203)


('bratt', 0.7529918551445007)


('dopeman', 0.7528069615364075)


('kel', 0.7526848316192627)


('felonies', 0.7526724934577942)


('hunnos', 0.7525683641433716)


('hats', 0.7519401907920837)


('grit', 0.7517269849777222)


('steve', 0.7515778541564941)


('squeezing', 0.7515679001808167)


('gag', 0.7511121034622192)


('jordan', 0.7509053945541382)


('prince', 0.7505649924278259)


('monopoly', 0.7503994703292847)


('arena', 0.7501783967018127)


('overdo', 0.750102162361145)


('ill', 0.7494295239448547)


('delegation', 0.7489723563194275)


('iceberg', 0.7479577660560608)


('downfall', 0.7476806044578552)


('moncler', 0.7475720047950745)


('cosign', 0.7465066313743591)


('explota', 0.7464821934700012)


('salad', 0.7454434633255005)


('dolce', 0.7452355027198792)


('li', 0.7444176077842712)


('slider', 0.7444018721580505)


('childrеn', 0.7442875504493713)


('거침없이', 0.7442859411239624)


('cooky', 0.7439125180244446)


('chooser', 0.7438565492630005)


('rod', 0.7437599897384644)


('freaknik', 0.7437577247619629)


